source_id,source_name,product_action_cn,standard_action,source_equipment,standard_equipment,body_part,target,training_part_cn,action_pattern,first_person_level,is_common_gym,is_first_person_recognizable,include_in_mvp,mvp_priority,recognition_reason,mapping_note,image,gif_url,source_repo,source_data_url
0165,cable hammer curl (with rope),绳索锤式弯举,cable_biceps_curl,cable,cable,upper arms,biceps,手臂,curl,A,True,True,True,1,绳索锤式弯举并入绳索弯举大类。,hammer curl variant merged,images/0165,videos/0165,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0868,cable curl,绳索弯举,cable_biceps_curl,cable,cable,upper arms,biceps,手臂,curl,A,True,True,True,1,站姿面对龙门架，手柄和弯举轨迹明显。,,images/0868,videos/0868,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0227,cable standing fly,绳索夹胸,cable_chest_fly,cable,cable,chest,pectorals,胸,push,A,True,True,True,1,双侧绳索和双臂内收轨迹明显，胸前视角可识别。,standing fly/crossover merged,images/0227,videos/0227,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1269,cable standing up straight crossovers,绳索夹胸,cable_chest_fly,cable,cable,chest,pectorals,胸,push,A,True,True,True,1,站姿夹胸/飞鸟都归为同一产品动作。,standing crossover merged into cable chest fly,images/1269,videos/1269,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0007,alternate lateral pulldown,高位下拉,cable_lat_pulldown,cable,cable,back,lats,背,pull,A,True,True,True,1,高位滑轮、拉杆/把手和向下拉动轨迹明显。,merge pulldown variants,images/0007,videos/0007,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2330,cable lat pulldown full range of motion,高位下拉,cable_lat_pulldown,cable,cable,back,lats,背,pull,A,True,True,True,1,高位下拉是商业健身房常见动作，第一人称能看到拉杆和手臂下拉。,merge pulldown variants,images/2330,videos/2330,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2616,cable close grip front lat pulldown,高位下拉,cable_lat_pulldown,cable,cable,back,lats,背,pull,A,True,True,True,1,同属高位下拉，窄握/V把不作为产品独立动作。,close grip/v-bar merged into lat pulldown,images/2616,videos/2616,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0178,cable lateral raise,绳索侧平举,cable_lateral_raise,cable,cable,shoulders,delts,肩,raise,A,True,True,True,1,单侧或双侧手臂外展轨迹明显，绳索可见。,,images/0178,videos/0178,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0861,cable seated row,坐姿绳索划船,cable_seated_row,cable,cable,back,upper back,背,pull,A,True,True,True,1,脚踏、拉柄、绳索和前后拉动轨迹清楚。,,images/0861,videos/0861,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1320,cable rope seated row,坐姿绳索划船,cable_seated_row,cable,cable,back,upper back,背,pull,A,True,True,True,1,绳索划船可并入坐姿绳索划船。,rope attachment variant merged,images/1320,videos/1320,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0241,cable triceps pushdown (v-bar),绳索下压,cable_triceps_pushdown,cable,cable,upper arms,triceps,手臂,extension,A,True,True,True,1,面向龙门架，V把下压轨迹明显，适合计数。,,images/0241,videos/0241,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0798,stationary bike walk,健身车/动感单车,stationary_bike,leverage machine,cardio_bike,cardio,cardio,有氧,cardio,A,True,True,True,1,name 中包含 stationary bike，应从固定器械修正为有氧健身车。,name contains stationary bike; remap from leverage machine,images/0798,videos/0798,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2138,stationary bike run v.3,健身车/动感单车,stationary_bike,stationary bike,cardio_bike,cardio,cardio,有氧,cardio,A,True,True,True,1,车把、屏幕和踏频稳定，第一人称识别难度低。,,images/2138,videos/2138,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2141,walk elliptical cross trainer,椭圆机,elliptical,elliptical machine,cardio_elliptical,cardio,cardio,有氧,cardio,A,True,True,True,1,椭圆机扶手、踏板、屏幕和身体节奏明显，适合第一人称识别。,,images/2141,videos/2141,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2311,walking on stepmill,登阶机/爬楼机,stepmill,stepmill machine,cardio_stepmill,cardio,cardio,有氧,cardio,A,True,True,True,1,登阶机台阶和扶手稳定出现在画面中，踩踏周期明显。,,images/2311,videos/2311,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
3666,walking on incline treadmill,跑步机,treadmill_walk_run,leverage machine,cardio_treadmill,cardio,cardio,有氧,cardio,A,True,True,True,1,跑步机设备、扶手/屏幕和步态周期在胸前视角中明显；原库 equipment 需从 name 修正。,name contains treadmill; remap from leverage machine,images/3666,videos/3666,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0294,dumbbell biceps curl,哑铃弯举,dumbbell_biceps_curl,dumbbell,dumbbell,upper arms,biceps,手臂,curl,A,True,True,True,1,哑铃和弯举轨迹明显。,,images/0294,videos/0294,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0300,dumbbell deadlift,哑铃硬拉,dumbbell_deadlift,dumbbell,dumbbell,upper legs,glutes,腿/臀,hinge,A,True,True,True,1,哑铃和髋铰链轨迹明显。,,images/0300,videos/0300,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0334,dumbbell lateral raise,哑铃侧平举,dumbbell_lateral_raise,dumbbell,dumbbell,shoulders,delts,肩,raise,A,True,True,True,1,双手哑铃外展轨迹明显。,,images/0334,videos/0334,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1459,dumbbell romanian deadlift,哑铃罗马尼亚硬拉,dumbbell_romanian_deadlift,dumbbell,dumbbell,upper legs,hamstrings,腿/臀,hinge,A,True,True,True,1,RDL 髋铰链动作清晰，哑铃可见。,,images/1459,videos/1459,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0405,dumbbell shoulder press,哑铃推肩,dumbbell_shoulder_press,dumbbell,dumbbell,shoulders,delts,肩,push,A,True,True,True,1,坐姿推肩和站姿推肩归并。,seated/standing variants merged,images/0405,videos/0405,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0426,dumbbell standing overhead press,哑铃推肩,dumbbell_shoulder_press,dumbbell,dumbbell,shoulders,delts,肩,push,A,True,True,True,1,站姿推举，哑铃和手臂路径明显。,standing overhead press merged into dumbbell shoulder press,images/0426,videos/0426,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0413,dumbbell squat,哑铃深蹲,dumbbell_squat,dumbbell,dumbbell,upper legs,glutes,腿,squat,A,True,True,True,1,哑铃和蹲起周期明显。,,images/0413,videos/0413,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2796,dumbbell step-up,哑铃上台阶,dumbbell_step_up,dumbbell,dumbbell,upper legs,quads,腿,squat,A,True,True,True,1,台阶和踏上/下周期明显。,,images/2796,videos/2796,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0576,lever chest press,固定器械推胸,machine_chest_press,leverage machine,fixed_machine,chest,pectorals,胸,push,A,True,True,True,1,固定推胸变体并入同一标准动作。,variant merged,images/0576,videos/0576,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0577,lever chest press,固定器械推胸,machine_chest_press,leverage machine,fixed_machine,chest,pectorals,胸,push,A,True,True,True,1,把手、靠背和前推轨迹明显，商业健身房常见。,,images/0577,videos/0577,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0584,lever lateral raise,固定器械侧平举,machine_lateral_raise,leverage machine,fixed_machine,shoulders,delts,肩,raise,A,True,True,True,1,器械和双臂外展轨迹明显。,,images/0584,videos/0584,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0585,lever leg extension,坐姿腿屈伸,machine_leg_extension,leverage machine,fixed_machine,upper legs,quads,腿,extension,A,True,True,True,1,坐姿器械、腿部伸展和配重节奏容易识别。,,images/0585,videos/0585,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2287,lever alternate leg press,腿举,machine_leg_press,leverage machine,fixed_machine,upper legs,quads,腿,squat,A,True,True,True,1,脚踏板和腿部推蹬周期明显，适合识别。,single-leg/alternate variant merged,images/2287,videos/2287,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2611,lever horizontal one leg press,腿举,machine_leg_press,leverage machine,fixed_machine,upper legs,quads,腿,squat,A,True,True,True,1,水平腿举归并到腿举大类。,one-leg variant merged,images/2611,videos/2611,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0599,lever seated leg curl,坐姿腿弯举,machine_seated_leg_curl,leverage machine,fixed_machine,upper legs,hamstrings,腿,curl,A,True,True,True,1,坐姿腿弯举通常设备和腿部屈曲轨迹可见。,,images/0599,videos/0599,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0603,lever shoulder press,固定器械推肩,machine_shoulder_press,leverage machine,fixed_machine,shoulders,delts,肩,push,A,True,True,True,1,推举轨迹和器械框架明显，适合第一人称识别。,,images/0603,videos/0603,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0869,lever shoulder press v.2,固定器械推肩,machine_shoulder_press,leverage machine,fixed_machine,shoulders,delts,肩,push,A,True,True,True,1,推肩变体并入固定器械推肩。,variant merged,images/0869,videos/0869,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0251,chest dip,双杠臂屈伸,bodyweight_dip,body weight,no_equipment,chest,pectorals,胸/手臂,push,A,True,True,True,1,双杠和上下推撑轨迹明显。,id may need manual verification if strict source exactness required,images/0251,videos/0251,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1460,walking lunge,箭步蹲,bodyweight_lunge,body weight,no_equipment,upper legs,glutes,腿,squat,A,True,True,True,1,行走/交替步伐和上下起伏明显。,,images/1460,videos/1460,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0652,pull-up,引体向上,pullup,body weight,no_equipment,back,lats,背,pull,A,True,True,True,1,单杠和上下拉动轨迹明显。,,images/0652,videos/0652,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0752,smith deadlift,史密斯硬拉,smith_deadlift,smith machine,smith_machine,upper legs,glutes,腿,hinge,A,True,True,True,1,固定轨道和髋铰链轨迹明显。,,images/0752,videos/0752,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0765,smith seated shoulder press,史密斯推肩,smith_shoulder_press,smith machine,smith_machine,shoulders,delts,肩,push,A,True,True,True,1,坐姿版本并入史密斯推肩。,seated variant merged,images/0765,videos/0765,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0766,smith shoulder press,史密斯推肩,smith_shoulder_press,smith machine,smith_machine,shoulders,delts,肩,push,A,True,True,True,1,轨道和推举轨迹明显。,,images/0766,videos/0766,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0770,smith squat,史密斯深蹲,smith_squat,smith machine,smith_machine,upper legs,glutes,腿,squat,A,True,True,True,1,史密斯轨道和蹲起周期明显。,,images/0770,videos/0770,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0025,barbell bench press,杠铃卧推,barbell_bench_press,barbell,barbell,chest,pectorals,胸,push,B,True,True,True,2,卧推是常见动作，但胸前设备可能拍到天花板，需要结合计划和杠铃轨迹。,bench angle limits first-person view,images/0025,videos/0025,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0080,barbell reverse curl,杠铃弯举,barbell_biceps_curl,barbell,barbell,upper arms,biceps,手臂,curl,B,True,True,True,2,反握细节不作为第一阶段独立识别，归并弯举。,grip variant merged,images/0080,videos/0080,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0047,barbell incline bench press,杠铃上斜卧推,barbell_incline_bench_press,barbell,barbell,chest,pectorals,胸,push,B,True,True,True,2,上斜卧推可见杠铃和机架，仍需结合计划。,,images/0047,videos/0047,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0042,barbell front squat,杠铃深蹲,barbell_squat,barbell,barbell,upper legs,quads,腿,squat,B,True,True,True,2,前蹲并入杠铃深蹲；胸前杠可能遮挡部分画面。,front squat variant merged,images/0042,videos/0042,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1722,cable high pulley overhead tricep extension,绳索过顶臂屈伸,cable_overhead_triceps_extension,cable,cable,upper arms,triceps,手臂,extension,B,True,True,True,2,器械明显，但手在头上方可能短暂离开画面，标为 B。,,images/1722,videos/1722,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1724,cable rope high pulley overhead tricep extension,绳索过顶臂屈伸,cable_overhead_triceps_extension,cable,cable,upper arms,triceps,手臂,extension,B,True,True,True,2,绳索版本并入过顶臂屈伸；需要结合计划信息。,rope variant merged,images/1724,videos/1724,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1321,cable rope elevated seated row,坐姿绳索划船,cable_seated_row,cable,cable,back,upper back,背,pull,B,True,True,True,2,器械与轨迹明显，但座位形态可能与普通坐姿划船略有差异。,elevated variant merged,images/1321,videos/1321,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
2331,cycle cross trainer,交叉训练车,cycle_cross_trainer,leverage machine,cardio_bike,cardio,cardio,有氧,cardio,B,True,True,True,2,有氧设备可见，但不同健身房设备形态差异较大，先作为 B 级补充。,merge under cardio bike/cross trainer family,images/2331,videos/2331,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0289,dumbbell bench press,哑铃卧推,dumbbell_bench_press,dumbbell,dumbbell,chest,pectorals,胸,push,B,True,True,True,2,卧推动作常见，但视角朝上，需结合计划。,bench angle limits first-person view,images/0289,videos/0289,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0340,dumbbell lying hammer press,哑铃卧推,dumbbell_bench_press,dumbbell,dumbbell,chest,pectorals,胸,push,B,True,True,True,2,卧推变体并入哑铃卧推。,hammer press variant merged,images/0340,videos/0340,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1654,dumbbell biceps curl reverse,哑铃弯举,dumbbell_biceps_curl,dumbbell,dumbbell,upper arms,biceps,手臂,curl,B,True,True,True,2,反握细节不单独识别，归并哑铃弯举。,grip variant merged,images/1654,videos/1654,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1669,dumbbell one arm seated hammer curl,哑铃弯举,dumbbell_biceps_curl,dumbbell,dumbbell,upper arms,biceps,手臂,curl,B,True,True,True,2,锤式/单臂细节并入哑铃弯举。,hammer/single-arm variant merged,images/1669,videos/1669,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0417,dumbbell standing calf raise,哑铃提踵,dumbbell_calf_raise,dumbbell,dumbbell,lower legs,calves,腿,extension,B,True,True,True,2,提踵动作幅度小，但手持哑铃可见。,small range of motion,images/0417,videos/0417,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0361,dumbbell one arm shoulder press,哑铃推肩,dumbbell_shoulder_press,dumbbell,dumbbell,shoulders,delts,肩,push,B,True,True,True,2,单臂版本归并哑铃推肩。,single-arm variant merged,images/0361,videos/0361,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1385,lever seated calf raise,固定器械提踵,machine_calf_raise,leverage machine,fixed_machine,lower legs,calves,腿,extension,B,True,True,True,2,器械常见但动作幅度较小，第一阶段建议 B 级。,small range of motion,images/1385,videos/1385,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0596,lever seated fly,蝴蝶机夹胸,machine_chest_fly,leverage machine,fixed_machine,chest,pectorals,胸,push,B,True,True,True,2,动作常见，但胸前设备可能被器械把手/护垫部分遮挡。,needs real-device validation,images/0596,videos/0596,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1350,lever seated row,固定器械坐姿划船,machine_seated_row,leverage machine,fixed_machine,back,upper back,背,pull,B,True,True,True,2,常见固定划船；若有胸垫可能挡住胸前设备，需要实际复核。,keep as B due chest-pad risk,images/1350,videos/1350,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1685,squat to overhead reach,自重深蹲,bodyweight_squat,body weight,no_equipment,upper legs,glutes,腿,squat,B,True,True,True,2,动作可识别，但上举变体归并自重深蹲。,variant merged,images/1685,videos/1685,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
3293,archer pull up,引体向上,pullup,body weight,no_equipment,back,lats,背,pull,B,True,True,True,2,高级变体并入引体向上；动作幅度大但类型细节不单独识别。,advanced variant merged,images/3293,videos/3293,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0283,diamond push-up,俯卧撑,pushup,body weight,no_equipment,chest,pectorals,胸/手臂,push,B,True,True,True,2,窄距/钻石变体并入俯卧撑。,variant merged,images/0283,videos/0283,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0662,push-up,俯卧撑,pushup,body weight,no_equipment,chest,pectorals,胸,push,B,True,True,True,2,可计数，但胸前视角可能只看到地面，需结合计划。,camera may face floor,images/0662,videos/0662,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0748,smith bench press,史密斯卧推,smith_bench_press,smith machine,smith_machine,chest,pectorals,胸,push,B,True,True,True,2,卧推视角可能朝上，但史密斯轨道和杠铃可见，需结合计划。,bench angle limits first-person view,images/0748,videos/0748,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0751,smith close-grip bench press,史密斯卧推,smith_bench_press,smith machine,smith_machine,chest,triceps,胸/手臂,push,B,True,True,True,2,窄握变体并入史密斯卧推，产品不单独区分握距。,close grip variant merged,images/0751,videos/0751,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1308,smith wide grip bench press,史密斯卧推,smith_bench_press,smith machine,smith_machine,chest,pectorals,胸,push,B,True,True,True,2,宽握变体并入史密斯卧推。,wide grip variant merged,images/1308,videos/1308,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0757,smith incline bench press,史密斯上斜卧推,smith_incline_bench_press,smith machine,smith_machine,chest,pectorals,胸,push,B,True,True,True,2,上斜卧推可见性略好于平板，但仍建议 B 级。,,images/0757,videos/0757,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
