"user_id","profile","diet_balance","diet_balance_raw","score_status","ranking_status","is_partial_day_score","balance_method","food_group_input_source","kcal_target_source","default_target_kcal","scoring_age_years","scoring_sex","scoring_weight_kg","hei_2020_available","hei_recognized_score_points","hei_recognized_max_points","hei_unscored_components","amdr_fit","rda_ai_adequacy","meal_timing","kcal_balance","structure","nutrients","rhythm","energy","hei_contribution","amdr_contribution","rda_contribution","meal_timing_contribution","kcal_contribution","legacy_four_component_reference_raw","partial_without_kcal_reference_raw"
"user11-01","SYNTHETIC incomplete record, breakfast only (do NOT zero-fill missing groups)",,,"incomplete_partial_day","not_ranked","True","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"31","female","60","94.63","66.24","70","","100","19.88","100",,"96.09","19.88","100",,"37.85","15","3.98","10",,"81.29","66.83"
"userA1-clean","MATCHED PAIR control: whole-food, minimally processed day","82","82.04","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"30","female","62","79.15","79.15","100","","100","69.2","100","76.9","84.84","69.2","100","76.9","31.66","15","13.84","10","11.54","83.42",
"userA2-junk","MATCHED PAIR test: ultra-processed, high added-sugar / sodium / saturated-fat day (same food groups as A1)","72","71.64","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"30","female","62","53.16","53.16","100","","100","69.2","100","76.9","65.93","69.2","100","76.9","21.26","15","13.84","10","11.54","70.42",
"userB1-breakfast-only","INCOMPLETE: breakfast only (lunch + dinner missing)",,,"incomplete_partial_day","not_ranked","True","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"28","female","58","100","70","70","","100","21.88","100",,"100","21.88","100",,"40","15","4.38","10",,"84.38","69.38"
"userB2-missing-dinner","INCOMPLETE: breakfast + lunch present, dinner missing",,,"incomplete_partial_day","not_ranked","True","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"40","male","82","65.09","35.8","55","","100","46.34","100",,"74.61","46.34","100",,"26.04","15","9.27","10",,"71.81","60.3"
"userB3-missing-breakfast","INCOMPLETE: lunch + dinner present, breakfast missing",,,"incomplete_partial_day","not_ranked","True","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"34","female","59","100","70","70","","93","66","100",,"98.09","66","100",,"40","13.95","13.2","10",,"91.8","77.15"
"userC-low-1500kcal","DENSITY CONTROL: same servings, kcal_mid = 1500","65","64.76","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"35","male","78","57.09","57.09","100","","100","58.42","100","34.91","68.79","58.42","100","34.91","22.84","15","11.68","10","5.24","70.23",
"userC-mid-2500kcal","DENSITY CONTROL: same servings, kcal_mid = 2500","77","77.07","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"35","male","78","63.47","63.47","100","","100","58.42","100","100","73.43","58.42","100","100","25.39","15","11.68","10","15","73.42",
"userC-high-4500kcal","DENSITY CONTROL: same servings, kcal_mid = 4500","60","60.21","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"35","male","78","58.82","58.82","100","","100","58.42","100","0","70.05","58.42","100","0","23.53","15","11.68","10","0","71.09",
"userD1-moderate","CONTROL: moderate energy, moderate refined grains (the better day)","69","69.19","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"30","male","80","66.42","66.42","100","","100","58.42","100","39.61","75.58","58.42","100","39.61","26.57","15","11.68","10","5.94","74.89",
"userD2-gorged","TEST: very high energy, MORE absolute refined grains (the worse day)","60","59.6","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"30","male","80","57.3","57.3","100","","100","58.42","100","0","68.95","58.42","100","0","22.92","15","11.68","10","0","70.33",
"userE1-wholefruit","FRUIT CONTROL: all fruit is whole fruit","85","84.61","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"30","female","60","78.79","78.79","100","","100","69.2","100","95.05","84.57","69.2","100","95.05","31.52","15","13.84","10","14.26","83.24",
"userE2-alljuice","FRUIT TEST: same total_fruits_cup, but ALL of it is fruit juice","83","82.61","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"30","female","60","73.79","73.79","100","","100","69.2","100","95.05","80.94","69.2","100","95.05","29.52","15","13.84","10","14.26","80.74",
"userE3-halfjuice","FRUIT GRADIENT: half whole fruit, half juice","84","83.73","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"30","female","60","76.57","76.57","100","","100","69.2","100","95.05","82.96","69.2","100","95.05","30.63","15","13.84","10","14.26","82.12",
